statement,source,link,veracity,tokens
"Says Rob Portman ""even voted to allow people on the terrorism watch list to buy guns.""",Ted Strickland,/web/20180119171713/http://www.politifact.com/ohio/statements/2016/sep/29/ted-strickland/sen-rob-portman-voted-let-terrorists-buy-guns-nope/,0,"['Says', 'Rob', 'Portman', 'even', 'voted', 'to', 'allow', 'people', 'on', 'the', 'terrorism', 'watch', 'list', 'to', 'buy', 'guns']"
"Says to Hillary Clinton, ""You heard what I said about (the Trans-Pacific Partnership trade deal), and all of a sudden you were against it.""",Donald Trump,/web/20180119171716/http://www.politifact.com/truth-o-meter/statements/2016/sep/27/donald-trump/donald-trump-my-trans-pacific-partnership-oppositi/,0,"['Says', 'to', 'Hillary', 'Clinton', 'You', 'heard', 'what', 'I', 'said', 'about', 'the', 'Trans', 'Pacific', 'Partnership', 'trade', 'deal', 'and', 'all', 'of', 'a', 'sudden', 'you', 'were', 'against', 'it']"
"""NATO is opening up a major terror division. ... I'm sure I'm not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.""",Donald Trump,/web/20180119171716/http://www.politifact.com/truth-o-meter/statements/2016/sep/27/donald-trump/donald-trump-wrong-again-about-nato-increasing-ter/,0,"['NATO', 'is', 'opening', 'up', 'a', 'major', 'terror', 'division', 'I', 'm', 'sure', 'I', 'm', 'not', 'going', 'to', 'get', 'credit', 'for', 'it', 'but', 'that', 'was', 'largely', 'because', 'of', 'what', 'I', 'was', 'saying', 'and', 'my', 'criticism', 'of', 'NATO']"
"Says ""Hillary Clinton's plan would bring in 620,000 refugees in her first term, alone, with no effective way to screen or vet them. Her plan would cost $400 billion in terms of lifetime welfare and entitlement costs.""",Donald Trump,/web/20180119171716/http://www.politifact.com/truth-o-meter/statements/2016/sep/27/donald-trump/trump-says-clinton-would-bring-620000-refugees-her/,0,"['Says', 'Hillary', 'Clinton', 's', 'plan', 'would', 'bring', 'in', '620', '000', 'refugees', 'in', 'her', 'first', 'term', 'alone', 'with', 'no', 'effective', 'way', 'to', 'screen', 'or', 'vet', 'them', 'Her', 'plan', 'would', 'cost', '400', 'billion', 'in', 'terms', 'of', 'lifetime', 'welfare', 'and', 'entitlement', 'costs']"
"Says Hillary Clinton’s energy agenda ""will cost the U.S. economy over $5 trillion""",Donald Trump,/web/20180119171716/http://www.politifact.com/truth-o-meter/statements/2016/sep/27/donald-trump/donald-trumps-false-clinton-energy-plan/,0,"['Says', 'Hillary', 'Clinton', 's', 'energy', 'agenda', 'will', 'cost', 'the', 'U', 'S', 'economy', 'over', '5', 'trillion']"
"Says top Clinton advisers ""were pressing"" birther movement stories ""very hard.""",Donald Trump,/web/20180119171716/http://www.politifact.com/truth-o-meter/statements/2016/sep/27/donald-trump/trump-again-tries-pin-birtherism-clinton-insiders/,0,"['Says', 'top', 'Clinton', 'advisers', 'were', 'pressing', 'birther', 'movement', 'stories', 'very', 'hard']"
"Says Donald Trump ""started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""",Hillary Clinton,/web/20180119171716/http://www.politifact.com/truth-o-meter/statements/2016/sep/27/hillary-clinton/true-hillary-clinton-says-federal-government-sued-/,1,"['Says', 'Donald', 'Trump', 'started', 'his', 'career', 'back', 'in', '1973', 'being', 'sued', 'by', 'the', 'Justice', 'Department', 'for', 'racial', 'discrimination', 'because', 'he', 'would', 'not', 'rent', 'apartments', 'in', 'one', 'of', 'his', 'developments', 'to', 'African', 'Americans']"
"According to ""independent experts,"" Donald Trump's tax plan ""would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy.""",Hillary Clinton,/web/20180119171716/http://www.politifact.com/truth-o-meter/statements/2016/sep/27/hillary-clinton/hillary-clinton-correctly-cites-outside-analyses-t/,1,"['According', 'to', 'independent', 'experts', 'Donald', 'Trump', 's', 'tax', 'plan', 'would', 'blow', 'up', 'the', 'debt', 'by', 'over', '5', 'trillion', 'and', 'would', 'in', 'some', 'instances', 'disadvantage', 'middle', 'class', 'families', 'compared', 'to', 'the', 'wealthy']"
"""In Chicago, they've had thousands of shootings, thousands since Jan. 1. Thousands of shootings.""",Donald Trump,/web/20180119171716/http://www.politifact.com/truth-o-meter/statements/2016/sep/27/donald-trump/donald-trump-says-chicago-has-experienced-thousand/,1,"['In', 'Chicago', 'they', 've', 'had', 'thousands', 'of', 'shootings', 'thousands', 'since', 'Jan', '1', 'Thousands', 'of', 'shootings']"
"""I did not support the war in Iraq … The record shows that I’m right.""",Donald Trump,/web/20180119171720/http://www.politifact.com/truth-o-meter/statements/2016/sep/26/donald-trump/donald-trump-claims-again-he-was-against-war-iraq/,0,"['I', 'did', 'not', 'support', 'the', 'war', 'in', 'Iraq', 'The', 'record', 'shows', 'that', 'I', 'm', 'right']"
"""The gun epidemic is the leading cause of death of young African-American men, more than the next nine causes put together.""",Hillary Clinton,/web/20180119171720/http://www.politifact.com/truth-o-meter/statements/2016/sep/26/hillary-clinton/hillary-clinton-correct-gun-deaths-young-black-mal/,1,"['The', 'gun', 'epidemic', 'is', 'the', 'leading', 'cause', 'of', 'death', 'of', 'young', 'African', 'American', 'men', 'more', 'than', 'the', 'next', 'nine', 'causes', 'put', 'together']"
"""You will learn more about Donald Trump by going down to the Federal Elections"" to see the financial disclosure form than by looking at tax returns.",Donald Trump,/web/20180119171720/http://www.politifact.com/truth-o-meter/statements/2016/sep/26/donald-trump/donald-trump-talks-about-his-finances-first-presid/,0,"['You', 'will', 'learn', 'more', 'about', 'Donald', 'Trump', 'by', 'going', 'down', 'to', 'the', 'Federal', 'Elections', 'to', 'see', 'the', 'financial', 'disclosure', 'form', 'than', 'by', 'looking', 'at', 'tax', 'returns']"
"""Most private sector jobs in the history of Buffalo exist in Buffalo today""",Andrew Cuomo,/web/20180119171720/http://www.politifact.com/new-york/statements/2016/sep/23/andrew-cuomo/buffalo-has-more-private-sector-jobs-ever/,1,"['Most', 'private', 'sector', 'jobs', 'in', 'the', 'history', 'of', 'Buffalo', 'exist', 'in', 'Buffalo', 'today']"
Says a change in law he carried stopped a $100 million tax increase in the Dallas school district.,Paul Bettencourt,/web/20180119171720/http://www.politifact.com/texas/statements/2016/sep/23/paul-bettencourt/paul-bettencourt-says-voting-threshold-he-champion/,1,"['Says', 'a', 'change', 'in', 'law', 'he', 'carried', 'stopped', 'a', '100', 'million', 'tax', 'increase', 'in', 'the', 'Dallas', 'school', 'district']"
"""Former President Bill Clinton and his Clinton Health Access Initiative (CHAI) distributed ‘watered-down’ HIV/AIDS drugs to patients in sub-Saharan Africa.""",Daily Caller,/web/20180119171720/http://www.politifact.com/global-news/statements/2016/sep/23/daily-caller/conservative-website-wrongly-ties-clinton-foundati/,0,"['Former', 'President', 'Bill', 'Clinton', 'and', 'his', 'Clinton', 'Health', 'Access', 'Initiative', 'CHAI', 'distributed', 'watered', 'down', 'HIV', 'AIDS', 'drugs', 'to', 'patients', 'in', 'sub', 'Saharan', 'Africa']"
"Tom Suozzi raised taxes ""by hundreds of millions of dollars"" as Nassau County executive.",National Republican Congressional Committee,/web/20180119171720/http://www.politifact.com/new-york/statements/2016/sep/23/national-republican-congressional-committee/suozzi-passed-major-tax-hikes-nassau-county/,1,"['Tom', 'Suozzi', 'raised', 'taxes', 'by', 'hundreds', 'of', 'millions', 'of', 'dollars', 'as', 'Nassau', 'County', 'executive']"
"""I never said"" that Muslims would be subject to profiling under his policies.",Donald Trump,/web/20180119171724/http://www.politifact.com/truth-o-meter/statements/2016/sep/21/donald-trump/donald-trump-says-he-never-called-profiling-muslim/,0,"['I', 'never', 'said', 'that', 'Muslims', 'would', 'be', 'subject', 'to', 'profiling', 'under', 'his', 'policies']"
"""In Harrisburg, I passed more bills than all the Democrats combined, in terms of legislation affecting the city.""",John Taylor,/web/20180119171724/http://www.politifact.com/pennsylvania/statements/2016/sep/21/john-taylor/surprising-truth-about-philly-republicans-harrisbu/,1,"['In', 'Harrisburg', 'I', 'passed', 'more', 'bills', 'than', 'all', 'the', 'Democrats', 'combined', 'in', 'terms', 'of', 'legislation', 'affecting', 'the', 'city']"
"""We spend more per student than almost any other major country in the world.""",Donald Trump,/web/20180119171724/http://www.politifact.com/ohio/statements/2016/sep/21/donald-trump/trump-us-spends-more-almost-any-other-major-countr/,1,"['We', 'spend', 'more', 'per', 'student', 'than', 'almost', 'any', 'other', 'major', 'country', 'in', 'the', 'world']"
"Says Russ Feingold was the ""only senator to vote against Homeland Security.""",Let America Work,/web/20180119171724/http://www.politifact.com/wisconsin/statements/2016/sep/21/let-america-work/pac-wrongly-claims-russ-feingold-was-only-vote-aga/,0,"['Says', 'Russ', 'Feingold', 'was', 'the', 'only', 'senator', 'to', 'vote', 'against', 'Homeland', 'Security']"
Says eight Americans died in a knife attack at a Minnesota mall.,Tom Tancredo,/web/20180119171724/http://www.politifact.com/colorado/statements/2016/sep/20/tom-tancredo/former-rep-tancredo-incorrectly-says-eight-america/,0,"['Says', 'eight', 'Americans', 'died', 'in', 'a', 'knife', 'attack', 'at', 'a', 'Minnesota', 'mall']"
"""In the mid 1990s, in our state, (Florida was) No. 1 in violent crime in America. ... The only concern I had was for the citizens of Florida, who were subjected to a violent crime every three minutes and 45 seconds.""",Charlie Crist,/web/20180119171724/http://www.politifact.com/florida/statements/2016/sep/19/charlie-crist/charlie-crist-says-florida-was-no-1-violent-crime/,1,"['In', 'the', 'mid', '1990s', 'in', 'our', 'state', 'Florida', 'was', 'No', '1', 'in', 'violent', 'crime', 'in', 'America', 'The', 'only', 'concern', 'I', 'had', 'was', 'for', 'the', 'citizens', 'of', 'Florida', 'who', 'were', 'subjected', 'to', 'a', 'violent', 'crime', 'every', 'three', 'minutes', 'and', '45', 'seconds']"
"Says that Republican Darryl Glenn has described Democrats as ""evil"" and has said he's ""tired of hearing about Republicans reaching across the aisle.""",Michael Bennet,/web/20180119171724/http://www.politifact.com/colorado/statements/2016/sep/19/michael-bennet/bennet-glenn-said-democrats-are-evil-and-hes-tired/,1,"['Says', 'that', 'Republican', 'Darryl', 'Glenn', 'has', 'described', 'Democrats', 'as', 'evil', 'and', 'has', 'said', 'he', 's', 'tired', 'of', 'hearing', 'about', 'Republicans', 'reaching', 'across', 'the', 'aisle']"
"""Texas has lost the most law enforcement officers in the line of duty of any state in America.""",Charley Wilkison,/web/20180119171726/http://www.politifact.com/texas/statements/2016/sep/19/charley-wilkison/texas-top-state-law-enforcement-deaths-line-duty/,1,"['Texas', 'has', 'lost', 'the', 'most', 'law', 'enforcement', 'officers', 'in', 'the', 'line', 'of', 'duty', 'of', 'any', 'state', 'in', 'America']"
"In the past decade in New York State ""more than 30 current and former state officeholders have been convicted, sanctioned or accused of wrongdoing — more than any other state.""",Elaine Phillips,/web/20180119171726/http://www.politifact.com/new-york/statements/2016/sep/19/elaine-phillips/new-york-has-been-most-corrupt-state-decades/,1,"['In', 'the', 'past', 'decade', 'in', 'New', 'York', 'State', 'more', 'than', '30', 'current', 'and', 'former', 'state', 'officeholders', 'have', 'been', 'convicted', 'sanctioned', 'or', 'accused', 'of', 'wrongdoing', 'more', 'than', 'any', 'other', 'state']"
"""300,000 Floridians have lost their health insurance"" as a result of Obamacare.",Americans for Prosperity,/web/20180119171726/http://www.politifact.com/florida/statements/2016/sep/19/americans-prosperity/ad-hitting-patrick-murphy-revives-zombie-statistic/,0,"['300', '000', 'Floridians', 'have', 'lost', 'their', 'health', 'insurance', 'as', 'a', 'result', 'of', 'Obamacare']"
"""Latinos are 17 percent of our country's population but hold only 2 percent of its wealth.""",Hillary Clinton,/web/20180119171726/http://www.politifact.com/truth-o-meter/statements/2016/sep/19/hillary-clinton/hillary-clinton-correct-hispanic-wealth-disproport/,1,"['Latinos', 'are', '17', 'percent', 'of', 'our', 'country', 's', 'population', 'but', 'hold', 'only', '2', 'percent', 'of', 'its', 'wealth']"
"""Hillary Clinton and her campaign of 2008 started the birther controversy.""",Donald Trump,/web/20180119171726/http://www.politifact.com/truth-o-meter/statements/2016/sep/16/donald-trump/fact-checking-donald-trumps-claim-hillary-clinton-/,0,"['Hillary', 'Clinton', 'and', 'her', 'campaign', 'of', '2008', 'started', 'the', 'birther', 'controversy']"
McGinty previously told a local community newspaper in her native Philadelphia that she 'has found an alarming undercurrent of misinformed people in the 'T' part of the state' outside of Philadelphia and Pittsburgh.,Pat Toomey,/web/20180119171726/http://www.politifact.com/pennsylvania/statements/2016/sep/16/pat-toomey/philly-newspapers-mistake-leads-false-pat-toomey-c/,0,"['McGinty', 'previously', 'told', 'a', 'local', 'community', 'newspaper', 'in', 'her', 'native', 'Philadelphia', 'that', 'she', 'has', 'found', 'an', 'alarming', 'undercurrent', 'of', 'misinformed', 'people', 'in', 'the', 'T', 'part', 'of', 'the', 'state', 'outside', 'of', 'Philadelphia', 'and', 'Pittsburgh']"
"""The head of the IRS ordered 24,000 emails erased before Congress could review them, making sure the American people will never know the real truth.""",John  Fleming,/web/20180119171726/http://www.politifact.com/truth-o-meter/statements/2016/sep/15/john-fleming/john-fleming-attacks-irs-inaccurate-radio-ad/,0,"['The', 'head', 'of', 'the', 'IRS', 'ordered', '24', '000', 'emails', 'erased', 'before', 'Congress', 'could', 'review', 'them', 'making', 'sure', 'the', 'American', 'people', 'will', 'never', 'know', 'the', 'real', 'truth']"
"Says Ted Strickland supported giving $150 billion to Iranian regime that persecutes women, Christians and gays.",American Unity PAC,/web/20180119171726/http://www.politifact.com/ohio/statements/2016/sep/15/american-unity-pac/pac-blames-ted-strickland-iran-deal-he-didnt-vote/,0,"['Says', 'Ted', 'Strickland', 'supported', 'giving', '150', 'billion', 'to', 'Iranian', 'regime', 'that', 'persecutes', 'women', 'Christians', 'and', 'gays']"
"""When Moammar Gadhafi was set to visit the United Nations, and no one would let him stay in New York, Trump allowed Gadhafi to set up an elaborate tent at his Westchester County (New York) estate.""",Tim Kaine,/web/20180119171730/http://www.politifact.com/virginia/statements/2016/sep/15/tim-kaine/kaine-accurately-recalls-time-gadhafi-had-tent-put/,1,"['When', 'Moammar', 'Gadhafi', 'was', 'set', 'to', 'visit', 'the', 'United', 'Nations', 'and', 'no', 'one', 'would', 'let', 'him', 'stay', 'in', 'New', 'York', 'Trump', 'allowed', 'Gadhafi', 'to', 'set', 'up', 'an', 'elaborate', 'tent', 'at', 'his', 'Westchester', 'County', 'New', 'York', 'estate']"
"Says ""Patrick Murphy is the only candidate to have voted against every measure to fund Zika.""",Marco Rubio,/web/20180119171730/http://www.politifact.com/florida/statements/2016/sep/14/marco-rubio/patrick-murphy-has-voted-against-every-zika-fundin/,0,"['Says', 'Patrick', 'Murphy', 'is', 'the', 'only', 'candidate', 'to', 'have', 'voted', 'against', 'every', 'measure', 'to', 'fund', 'Zika']"
"Says the Donald J.Trump Foundation's money ""is his money.""",Kellyanne Conway,/web/20180119171730/http://www.politifact.com/truth-o-meter/statements/2016/sep/14/kellyanne-conway/no-donald-trumps-foundation-money-does-not-come-hi/,0,"['Says', 'the', 'Donald', 'J', 'Trump', 'Foundation', 's', 'money', 'is', 'his', 'money']"
"""Trump Management was charged with discriminating against African-Americans and breaking federal law.""",Hillary Clinton,/web/20180119171730/http://www.politifact.com/truth-o-meter/statements/2016/sep/14/hillary-clinton/clinton-ad-trump-management-was-charged-discrimina/,1,"['Trump', 'Management', 'was', 'charged', 'with', 'discriminating', 'against', 'African', 'Americans', 'and', 'breaking', 'federal', 'law']"
"""If Congress fails to act, the Obama administration intends to give away control of the internet to an international body akin to the United Nations.""",Ted Cruz,/web/20180119171730/http://www.politifact.com/texas/statements/2016/sep/14/ted-cruz/ted-cruz-incorrect-about-obama-giving-control-inte/,0,"['If', 'Congress', 'fails', 'to', 'act', 'the', 'Obama', 'administration', 'intends', 'to', 'give', 'away', 'control', 'of', 'the', 'internet', 'to', 'an', 'international', 'body', 'akin', 'to', 'the', 'United', 'Nations']"
"Says Hillary Clinton aide Huma Abedin has ""ties to the Muslim Brotherhood.""",Sean Duffy,/web/20180119171730/http://www.politifact.com/wisconsin/statements/2016/sep/14/sean-duffy/top-hillary-clinton-aide-has-ties-muslim-brotherho/,0,"['Says', 'Hillary', 'Clinton', 'aide', 'Huma', 'Abedin', 'has', 'ties', 'to', 'the', 'Muslim', 'Brotherhood']"
"Says Donald Trump's foundation ""took money other people gave to his charity and then bought a six-foot-tall painting of himself.""",Barack Obama,/web/20180119171730/http://www.politifact.com/truth-o-meter/statements/2016/sep/13/barack-obama/barack-obama-says-trump-foundation-took-other-peop/,1,"['Says', 'Donald', 'Trump', 's', 'foundation', 'took', 'money', 'other', 'people', 'gave', 'to', 'his', 'charity', 'and', 'then', 'bought', 'a', 'six', 'foot', 'tall', 'painting', 'of', 'himself']"
"Heroin comes in the United States ""from the southern border.""",Donald Trump,/web/20180119171730/http://www.politifact.com/truth-o-meter/statements/2016/sep/13/donald-trump/trump-right-heroin-coming-through-southern-border/,1,"['Heroin', 'comes', 'in', 'the', 'United', 'States', 'from', 'the', 'southern', 'border']"
"Say ""71 percent of doctors say Hillary's health concerns are 'serious' and 'could be disqualifying.' """,Bloggers,/web/20180119171733/http://www.politifact.com/truth-o-meter/statements/2016/sep/12/blog-posting/bloggers-hype-hillary-clinton-health-poll-represen/,0,"['Say', '71', 'percent', 'of', 'doctors', 'say', 'Hillary', 's', 'health', 'concerns', 'are', 'serious', 'and', 'could', 'be', 'disqualifying']"
"""Our veterans, in many cases, are being treated worse than illegal immigrants.""",Donald Trump,/web/20180119171733/http://www.politifact.com/truth-o-meter/statements/2016/sep/09/donald-trump/trump-says-veterans-treated-worse-illegal-immigran/,0,"['Our', 'veterans', 'in', 'many', 'cases', 'are', 'being', 'treated', 'worse', 'than', 'illegal', 'immigrants']"
"""In an interview with the Chicago Tribune's Editorial Board, Comptroller Leslie Munger says that in order to balance a budget, the state would have to 'cut social services completely.'""",SEIU Healthcare Illinois & Indiana,/web/20180119171733/http://www.politifact.com/illinois/statements/2016/sep/08/seiu-healthcare-illinois-indiana/healthcare-union-twists-leslie-munger-comments/,0,"['In', 'an', 'interview', 'with', 'the', 'Chicago', 'Tribune', 's', 'Editorial', 'Board', 'Comptroller', 'Leslie', 'Munger', 'says', 'that', 'in', 'order', 'to', 'balance', 'a', 'budget', 'the', 'state', 'would', 'have', 'to', 'cut', 'social', 'services', 'completely']"
"Says Dick Cheney ""supported gay marriage sooner"" than Hillary Clinton.",AlternativePAC,/web/20180119171733/http://www.politifact.com/colorado/statements/2016/sep/08/alternativepac/pac-backing-gary-johnson-says-dick-cheney-supporte/,1,"['Says', 'Dick', 'Cheney', 'supported', 'gay', 'marriage', 'sooner', 'than', 'Hillary', 'Clinton']"
"Says Patrick Murphy advocated for ""cuts to Social Security and Medicare.""",National Republican Senatorial Committee,/web/20180119171733/http://www.politifact.com/florida/statements/2016/sep/08/national-republican-senatorial-committee/patrick-murphy-wanted-cut-social-security-and-medi/,0,"['Says', 'Patrick', 'Murphy', 'advocated', 'for', 'cuts', 'to', 'Social', 'Security', 'and', 'Medicare']"
"""As governor, Ted Strickland left only 89 cents in Ohio’s rainy day fund.""",U.S. Chamber of Commerce,/web/20180119171733/http://www.politifact.com/ohio/statements/2016/sep/08/us-chamber-commerce/heard-one-about-ted-strickland-and-89-cents/,1,"['As', 'governor', 'Ted', 'Strickland', 'left', 'only', '89', 'cents', 'in', 'Ohio', 's', 'rainy', 'day', 'fund']"
"""I was totally against the war in Iraq.""",Donald Trump,/web/20180119171736/http://www.politifact.com/truth-o-meter/statements/2016/sep/07/donald-trump/trump-repeats-wrong-claim-he-opposed-iraq-war/,0,"['I', 'was', 'totally', 'against', 'the', 'war', 'in', 'Iraq']"
"""Food stamps have gone up two-and-a-half times under Barack Obama.""",Rudy Giuliani,/web/20180119171736/http://www.politifact.com/truth-o-meter/statements/2016/sep/07/rudy-giuliani/rudy-giuliani-says-food-stamps-rose-two-and-half-t/,0,"['Food', 'stamps', 'have', 'gone', 'up', 'two', 'and', 'a', 'half', 'times', 'under', 'Barack', 'Obama']"
"""I released the most extensive financial review of anybody in the history of politics. … You don't learn much in a tax return.""",Donald Trump,/web/20180119171736/http://www.politifact.com/truth-o-meter/statements/2016/sep/07/donald-trump/donald-trump-says-his-financial-disclosures-more-m/,0,"['I', 'released', 'the', 'most', 'extensive', 'financial', 'review', 'of', 'anybody', 'in', 'the', 'history', 'of', 'politics', 'You', 'don', 't', 'learn', 'much', 'in', 'a', 'tax', 'return']"
Says Russ Feingold broke his 1992 promise to always get the majority of funding from Wisconsin residents.,Ron Johnson,/web/20180119171736/http://www.politifact.com/wisconsin/statements/2016/sep/07/ron-johnson/feingold-broke-promise-fund-campaign-primarily-sta/,1,"['Says', 'Russ', 'Feingold', 'broke', 'his', '1992', 'promise', 'to', 'always', 'get', 'the', 'majority', 'of', 'funding', 'from', 'Wisconsin', 'residents']"
"""Donald Trump’s been completely consistent"" about his plan for nonviolent undocumented immigrants.",Mike Pence,/web/20180119171736/http://www.politifact.com/truth-o-meter/statements/2016/sep/04/mike-pence/pence-says-trump-has-been-consistent-immigration-v/,0,"['Donald', 'Trump', 's', 'been', 'completely', 'consistent', 'about', 'his', 'plan', 'for', 'nonviolent', 'undocumented', 'immigrants']"
"Says Hillary Clinton ""wants to increase Syrian refugees to this country by 550 percent.""",Mike Pence,/web/20180119171736/http://www.politifact.com/truth-o-meter/statements/2016/sep/04/mike-pence/mike-pence-cites-clinton-support-more-syrian-refug/,1,"['Says', 'Hillary', 'Clinton', 'wants', 'to', 'increase', 'Syrian', 'refugees', 'to', 'this', 'country', 'by', '550', 'percent']"
"Child care costs ""in some states now exceed the average price tag for college tuition.""",Donna Howard,/web/20180119171736/http://www.politifact.com/texas/statements/2016/sep/02/donna-howard/donna-howard-says-child-care-some-states-costs-mor/,1,"['Child', 'care', 'costs', 'in', 'some', 'states', 'now', 'exceed', 'the', 'average', 'price', 'tag', 'for', 'college', 'tuition']"
"Tom Reed ""has actually voted for every single trade deal that has ever come before him in any form.""",John Plumb,/web/20180119171740/http://www.politifact.com/new-york/statements/2016/sep/02/john-plumb/reed-has-voted-trade-deals-opposes-tpp/,1,"['Tom', 'Reed', 'has', 'actually', 'voted', 'for', 'every', 'single', 'trade', 'deal', 'that', 'has', 'ever', 'come', 'before', 'him', 'in', 'any', 'form']"
"Says that in 2015, ""illegal"" immigrants accounted for 75 percent of federal drug possession convictions and 5 percent to 30 percent of convictions for murder and kidnapping plus two other crimes.",Sean Hannity,/web/20180119171740/http://www.politifact.com/texas/statements/2016/sep/02/sean-hannity/sean-hannity-says-illegal-immigrants-account-75-pe/,1,"['Says', 'that', 'in', '2015', 'illegal', 'immigrants', 'accounted', 'for', '75', 'percent', 'of', 'federal', 'drug', 'possession', 'convictions', 'and', '5', 'percent', 'to', '30', 'percent', 'of', 'convictions', 'for', 'murder', 'and', 'kidnapping', 'plus', 'two', 'other', 'crimes']"
"""The Dallas Cowboys can’t put a sticker on their helmets for the 5 police officers who were killed.""",James Woods,/web/20180119171740/http://www.politifact.com/texas/statements/2016/sep/01/james-woods/james-woods-says-dallas-cowboys-cant-honor-dead-of/,1,"['The', 'Dallas', 'Cowboys', 'can', 't', 'put', 'a', 'sticker', 'on', 'their', 'helmets', 'for', 'the', '5', 'police', 'officers', 'who', 'were', 'killed']"
"Says Alex Jones ""said that the victims of the Sandy Hook massacre were child actors and no one was actually killed there.""",Hillary Clinton,/web/20180119171740/http://www.politifact.com/texas/statements/2016/sep/01/hillary-clinton/hillary-clinton-correct-austins-alex-jones-said-no/,1,"['Says', 'Alex', 'Jones', 'said', 'that', 'the', 'victims', 'of', 'the', 'Sandy', 'Hook', 'massacre', 'were', 'child', 'actors', 'and', 'no', 'one', 'was', 'actually', 'killed', 'there']"
"Says GOP U.S. Senate candidate Darryl Glenn ""wants to eliminate the Department of Education"" and jeopardize college funding for 320,000 Coloradans.",Colorado Democratic Party,/web/20180119171740/http://www.politifact.com/colorado/statements/2016/aug/31/colorado-democratic-party/colorado-dems-say-darryl-glenn-wants-eliminate-dep/,1,"['Says', 'GOP', 'U', 'S', 'Senate', 'candidate', 'Darryl', 'Glenn', 'wants', 'to', 'eliminate', 'the', 'Department', 'of', 'Education', 'and', 'jeopardize', 'college', 'funding', 'for', '320', '000', 'Coloradans']"
"""Hillary Clinton wants to shut down family farms"" using ""radical regulation,"" by raising business tax ""rates as high as nearly 50 percent"" and by taxing ""family farms again at death by as much as 45 percent.""",Donald Trump,/web/20180119171740/http://www.politifact.com/iowa/statements/2016/aug/31/donald-trump/donald-trump-explains-why-hillary-clinton-wants-sh/,0,"['Hillary', 'Clinton', 'wants', 'to', 'shut', 'down', 'family', 'farms', 'using', 'radical', 'regulation', 'by', 'raising', 'business', 'tax', 'rates', 'as', 'high', 'as', 'nearly', '50', 'percent', 'and', 'by', 'taxing', 'family', 'farms', 'again', 'at', 'death', 'by', 'as', 'much', 'as', '45', 'percent']"
"Both the Democratic and Republican candidates for president in 2016 are ""quite unpopular.""",Jimmy Carter,/web/20180119171740/http://www.politifact.com/georgia/statements/2016/aug/31/jimmy-carter/carter-correct-popularity-clinton-and-trump/,1,"['Both', 'the', 'Democratic', 'and', 'Republican', 'candidates', 'for', 'president', 'in', '2016', 'are', 'quite', 'unpopular']"
"Lee Zeldin ""missed 2/3rds of Veterans Affairs Hearings""",Anna Throne-Holst,/web/20180119171743/http://www.politifact.com/new-york/statements/2016/aug/30/anna-throne-holst/zeldin-attended-some-hearings-dccc-says-he-missed/,0,"['Lee', 'Zeldin', 'missed', '2', '3rds', 'of', 'Veterans', 'Affairs', 'Hearings']"
"As the number of vaccines administered to children has increased in the United States, so has the autism rate.",Viral image,/web/20180119171743/http://www.politifact.com/ohio/statements/2016/aug/29/viral-image/viral-image-perpetuates-misconception-vaccines-cau/,0,"['As', 'the', 'number', 'of', 'vaccines', 'administered', 'to', 'children', 'has', 'increased', 'in', 'the', 'United', 'States', 'so', 'has', 'the', 'autism', 'rate']"
"""None of the polls being conducted right now have us on the top line. None of them. It's always Trump and Clinton and then second question, third question. ... If we were included in the top line, as Johnson/Trump/Clinton, we'd be at 20 percent.""",Gary Johnson,/web/20180119171743/http://www.politifact.com/truth-o-meter/statements/2016/aug/29/gary-johnson/johnson-questions-pollsters-he-tries-join-clinton-/,0,"['None', 'of', 'the', 'polls', 'being', 'conducted', 'right', 'now', 'have', 'us', 'on', 'the', 'top', 'line', 'None', 'of', 'them', 'It', 's', 'always', 'Trump', 'and', 'Clinton', 'and', 'then', 'second', 'question', 'third', 'question', 'If', 'we', 'were', 'included', 'in', 'the', 'top', 'line', 'as', 'Johnson', 'Trump', 'Clinton', 'we', 'd', 'be', 'at', '20', 'percent']"
"As governor, Tim Kaine ""oversaw a huge increase in illegal immigration, a tremendous increase.""",Donald Trump,/web/20180119171743/http://www.politifact.com/virginia/statements/2016/aug/29/donald-trump/donald-trump-wrong-virginia-say-huge-increase-ille/,0,"['As', 'governor', 'Tim', 'Kaine', 'oversaw', 'a', 'huge', 'increase', 'in', 'illegal', 'immigration', 'a', 'tremendous', 'increase']"
"""All of Texas is conservative, except a little bit of Austin.""",Sean Hannity,/web/20180119171743/http://www.politifact.com/texas/statements/2016/aug/26/sean-hannity/sean-hannity-incorrect-all-texas-conservative-save/,0,"['All', 'of', 'Texas', 'is', 'conservative', 'except', 'a', 'little', 'bit', 'of', 'Austin']"
